n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,disc_alpha,uniform_eq_gap,disc_eq_gap,uniform_alpha0,disc_alpha0,uniform_alpha1,disc_alpha1,uniform_alpha2,disc_alpha2,uniform_alpha3,disc_alpha3,uniform_alpha4,disc_alpha4
30,38,5,strategic,4366.123963426326,2659.190013280901,69.97868456002371,0.9293628808864266,4335.919513454368,2505.2735056284014,53.52797586567129,0.9030470914127424,4383.977325163759,0.9210526315789473,0.7527880959999999,0.6173499159999999,33.9824378045119,34.47522880559813,0.7516314399999999,0.5100341199999999,0.8188779399999997,0.6101192199999999,0.7462244799999999,0.4825592799999999,0.6601982799999999,0.6829808199999999,0.7870083399999998,0.8010561399999998
30,38,5,truthful,4307.12217694469,3497.5436482817872,92.04062232320494,0.9335180055401662,4307.12217694469,4307.122176944691,92.04062232320494,0.9335180055401662,4307.12217694469,0.9335180055401662,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,38,5,strategic,4271.138648084411,2909.3880657205004,76.56284383475001,0.9404432132963989,4216.963910894892,2268.417394326141,51.45858203975311,0.909972299168975,4307.12217694469,0.9335180055401662,0.7957148079999998,0.5776579359999999,34.7027651017777,37.72593983966412,0.7832859399999998,0.4757634999999999,0.9259763799999998,0.5666256999999999,0.7015008999999999,0.4932881199999999,0.8044148199999999,0.6004087,0.7633959999999997,0.7522036599999999
30,38,5,truthful,4878.726104408966,3635.498130063014,95.67100342271088,0.9210526315789473,4878.726104408966,4878.726104408966,95.67100342271088,0.9210526315789473,4878.726104408966,0.9210526315789473,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,38,5,strategic,4839.3278830203035,2792.0856010595717,73.47593686998873,0.9265927977839336,4690.924374364493,3049.9016777788643,62.400793327045264,0.8878116343490305,4878.726104408966,0.9210526315789473,0.7296978639999999,0.6973417479999998,23.784043261932183,22.12237938413739,0.7994203599999998,0.5150483799999999,0.7958773599999999,0.5945676999999998,0.6545862999999998,0.7089030999999999,0.6382337799999999,0.8008190199999998,0.76037152,0.8673705399999997
30,38,5,truthful,5834.059551761744,3678.323057962727,96.79797520954546,0.9058171745152355,5834.059551761744,5834.059551761744,96.79797520954546,0.9058171745152355,5834.059551761744,0.9058171745152355,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,38,5,strategic,5714.147345248282,2619.090828848389,68.92344286443128,0.9210526315789473,5735.842422220586,3653.382903054989,61.0437732180299,0.9030470914127424,5834.059551761744,0.9058171745152355,0.664430848,0.6370723479999999,54.78735680666934,27.259980833862876,0.8126948199999999,0.5194773399999999,0.59667448,0.5915476,0.5947865199999999,0.7885383999999999,0.5921559999999999,0.7905487599999999,0.72584242,0.49524963999999994
30,38,5,truthful,5072.775339299326,3671.313250805581,96.61350660014688,0.9127423822714682,5072.775339299326,5072.775339299326,96.61350660014688,0.9127423822714682,5072.775339299326,0.9127423822714682,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,38,5,strategic,5050.33029955448,2711.50257094124,71.35533081424315,0.9196675900277008,5063.978180171004,3082.65089212074,58.48520874923912,0.9182825484764543,5072.775339299326,0.9127423822714682,0.7403226879999999,0.5945482239999998,33.15570410109215,29.508206008754527,0.7932501399999998,0.60680302,0.6234938199999999,0.6241029399999999,0.7949568999999999,0.46492581999999993,0.7908137199999999,0.7346771199999997,0.6990988599999999,0.5422322199999999
30,38,5,truthful,4407.86098139468,3386.5175970081623,89.11888413179373,0.9182825484764543,4407.86098139468,4407.86098139468,89.11888413179373,0.9182825484764543,4407.86098139468,0.9182825484764543,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
