n_airlines,m_slots,max_demand,bidding_mode,uniform_eff,uniform_rev,uniform_price,uniform_fair,disc_eff,disc_rev,disc_price,disc_fair,welfare_eff,welfare_fair,uniform_alpha,uniform_eq_gap,disc_alpha,disc_eq_gap
40,50,5,strategic,6935.712041121301,4402.606248359406,88.05212496718812,0.9392,6935.712041121301,4816.99285409342,75.20285548354326,0.9392,6935.712041121301,0.9392,0.8131870584699998,10.744301716959285,0.6945203067159998,21.806539940474075
40,50,5,truthful,5105.038229879492,4124.060562993686,82.48121125987372,0.944,5105.038229879492,5105.038229879492,82.48121125987372,0.944,5105.038229879492,0.944,,,,
40,50,5,strategic,5105.038229879492,3595.726995528502,71.91453991057004,0.944,5105.038229879492,3394.1617400927034,54.83887856044034,0.944,5105.038229879492,0.944,0.8718899590839999,19.20350108022395,0.6648650974299999,11.886367187824675
40,50,5,truthful,6623.619977495279,5020.182580266661,100.40365160533321,0.9304,6623.619977495279,6623.619977495278,100.40365160533321,0.9304,6623.619977495279,0.9304,,,,
40,50,5,strategic,6623.619977495279,4901.275382213811,98.02550764427622,0.9304,6623.619977495279,4301.269423718627,65.2004731773616,0.9304,6623.619977495279,0.9304,0.9763141686279997,10.248943858006314,0.6493834849119999,4.612618287473474
40,50,5,truthful,6954.916572067645,5065.586493484805,101.3117298696961,0.9319999999999999,6954.916572067645,6957.723838035778,101.3117298696961,0.9319999999999999,6954.916572067645,0.9319999999999999,,,,
40,50,5,strategic,6954.916572067645,4773.352808675667,95.46705617351333,0.9319999999999999,6954.916572067645,4443.890768042415,64.70769342714382,0.9319999999999999,6954.916572067645,0.9319999999999999,0.94231,0.0,0.6386989296339998,2.9894967592080306
50,62,5,truthful,8387.070907327045,6390.409955522551,103.07112831487984,0.9484911550468262,8387.070907327045,8387.070907327045,103.07112831487984,0.9484911550468262,8387.070907327045,0.9484911550468262,,,,
50,62,5,strategic,8387.070907327045,5657.017080332621,91.2422109731068,0.9484911550468262,8387.070907327045,5460.9565821012875,67.11126718912348,0.9484911550468262,8387.070907327045,0.9484911550468262,0.8852353948659998,0.25912213885671775,0.6511160621439999,4.544889798854172
50,62,5,truthful,7608.5970754479595,5884.995942516765,94.9192893954317,0.9552549427679501,7608.5970754479595,7608.59707544796,94.9192893954317,0.9552549427679501,7608.5970754479595,0.9552549427679501,,,,
50,62,5,strategic,7608.5970754479595,5305.081140179347,85.56582484160236,0.9552549427679501,7608.5970754479595,5185.537486721558,64.69097108076315,0.9552549427679501,7608.5970754479595,0.9552549427679501,0.9014587591899997,18.82312947465463,0.6815366138199999,0.0
50,62,5,truthful,8108.122675224435,6271.334281971937,101.15055293503126,0.9516129032258065,8108.122675224435,8108.122675224435,101.15055293503126,0.9516129032258065,8108.122675224435,0.9516129032258065,,,,
50,62,5,strategic,8108.122675224435,5904.7735389238205,95.23828288586807,0.9516129032258065,8108.122675224435,5619.979269390402,70.11043534396411,0.9516129032258065,8108.122675224435,0.9516129032258065,0.9415497999999998,3.2406111658980308,0.6931295312739998,11.545447104976162
50,62,5,truthful,8815.588566529457,6022.436733009115,97.13607633885672,0.9469302809573361,8815.588566529457,8815.588566529457,97.13607633885672,0.9469302809573361,8815.588566529457,0.9469302809573361,,,,
50,62,5,strategic,8815.588566529457,5306.00900630082,85.58079042420678,0.9469302809573361,8815.588566529457,5903.8245735836435,65.05230480562297,0.9469302809573361,8815.588566529457,0.9469302809573361,0.8810402236719999,2.223308906268386,0.6697028257419999,0.0
